Names
Maine Pyar Kiya
 Maine Pyar Kiya
Qayamat Se Qayamat Tak
Mein Tera Hero 
Pyaar Kiya Toh Darna Kya
Kabutar Ja Ja from Maine Pyar Kiya
Maine Pyar Kiya
Mere Rang Mein from Maine Pyar Kiya
The Final Countdown
Dil Deewana from Maine Pyar Kiya 
Chandni Raat Hai from Baaghi A Rebel for Love
Baaghi
Kaisa Lagta Hai from Baaghi A Rebel for Love
Baaghi
Dekha Hai Pehla Baar from Saajan
Saajan
Saajan
Tum Se Milne Ki Tamanna Hain from Saajan
Jiye To Jiye Kaise from Saajan
Yeh Dharti Chand Sitare from Kurbaan
Kabhi Tu Chhalia Lagta Hai from Patthar Ke Phool
Saathiya Tune Kya Kia from Love
Prema
Kitna Pyar Tumhe Karte Hain from Ek Ladka EK Ladki
Phool Yeh Nahin Armaan from Ek Ladka EK Ladki
Phool Yeh Nahin Armaan
Dekho Dekho Tum from Nischay
Hawa Mein Kya Hai from Jaagruti
Nischay
Tere Hi Aarzoo Hai from Chandramukhi
Title track of Dil Tera Aashiq
Dil Tera Aashiq
Kam Se Kam Itna Kaha Hota from Dil Tera Aashiq
Mujhe Kuch Kehna Hai Aapse from Dil Tera Aashiq
Pehla Pehla Pyaar Hai from Hum Aapke Hai Koun
Maye Ni Maye
Pehla Pehla Pyaar Hai
Deedi Tera Dewar from Hum Aapke Hai Koun
Deedi Tera Dewar
Title Track from Hum Aapke Hai Koun
Mujhse Juda Hokar from Hum Aapke Hai Koun
Wah Wah Ramji Dhiktana Joote Do Paise Lo Mausam Ka Jaadu
Ye Raat Aur Ye Doori from Andaz Apna Apna
Ye Raat Aur Ye Doori
Elo Elo
 Ye Raat Aur Ye Doori
Yeh Bandan To from Karan Arjun
Bahon Ke Darmiyan from Khamoshi The Musical
Jab Pyaar Kisise Hota Hai Pyar Kiya To Darna Kya
Saanson Ka Chalna from Jeet
East Or West India Is The Best from Judwaa
Tan Tana Tan Tan Tan Tara from Judwaa
Judwaa
Suno Gor Se Duniyawalo from Dus
Oh Oh Jaane Jaana from Pyaar Kiya Toh Darna Kya
Odli Chunariya from Pyaar Kiya Toh Darna Kya
Odli Chunariya
Pehli Pehli Baar Jab Pyaar from Jab Pyaar Kisise Hota Hai
Pyaar Kiya Toh Darna Kya Jab Pyaar Kisise Hota Hai Kuch Kuch Hota Hai etc 
Kuch Kuch Hota Hai 
O Jaana Na Jaana from Jab Pyaar Kisise Hota Hai
Madhosh Dil Ki Dhadkan from Jab Pyar Kise Se Hota Hai
Chal Pyar Karegi
Tere Naina Mere Naino Ki from Bandhan
Judwaa
Chaand Chhupa Badal Mein from Hum Dil De Chuke Sanam
Hum Dil De Chuke Sanam
Dhol Baaje from Hum Dil De Chuke Sanam
Nimooda
Aankhon Ki Gustakhiyan from Hum Dil De Chuke Sanam
Tadap Tadap from Hum Dil De Chuke Sanam
Jungle Hai Aadhi Raat from Biwi No 
Sapne 
Chunari Chunari from Biwi No 
Chunari Chunari and Ishq Sona Hai 
Chandni Aaya Hai Tera Deewana from Jaanam Samjha Karo
Chandni Aaya Hai Tera Deewana
Love Hua
Jaanam Samjha Karo from Jaanam Samjha Karo
Hata Sawan Ki Ghata from Hello Brother
Chandi Ki Daal Par
Teri Chunariya from Hello Brother
Odli Chunariya 
Chunari Chunari from Biwi No Odli from Tere Naam Odli Chunariya
Pyar Kiya To Darna Kya and Teri Chunariya from Hello Brother
Chunri Lehraayi Re Bolo Kaisa Lagta Hai
Chudi Khankayi Re
Chunariya 
Biwi No 
Mhare Hiwda from Hum Saath Saath Hain
Hai Na Bolo from Dulhan Hum Le Jayenge
Tera Pallu from Dulhan Hum Le Jayenge
Dulhan Hum Le Jayenge
Dulhan Hum Le Jayenge and Kahin Pyaar Na Ho Jaaye 
Har Dil Jo Pyar Karega etc 
Pyar Dilon Ka Mela from Dulhan Hum Le Jayenge 
Mujhse Shaadi Karogi from Dulhan Hum Le Jayenge
Mujhse Shaadi Karogi 
Dulhan Hum Le Jayenge 
Dulhan Hum Le Jayenge from Dulhan Hum Le Jayenge
Chori Chori from Chal Mere Bhai
Har Dil Jo Pyar Karega from Har Dil Jo Pyar Karega
Sangham
Aate Jaate Jo Milta Hai from Har Dil Jo Pyar Karega
Aisa Pehli Baar Hua Hai from Har Dil Jo Pyar Karega
Title Track from Kahin Pyaar Na Ho Jaaye
O Priya O Priya from Kahin Pyaar Na Ho Jaaye
Pardesi from Kahin Pyaar Na Ho Jaaye
 Sawariya Re O Sawariya from Kahin Pyaar Na Ho Jaaye
Judwaa Pyar Kiya To Darna Kya Kya 
Kahin Pyaar Na Ho Jaaye
 Ruki Ruki 
Mast
Chori Chori Chupke Chupke from Chori Chori Chupke Chupke
Chori Chori Chupke Chupke
Har Dil Jo Pyar Hai 
O Jaane Jigar from Yeh Hai Jalwa
Yeh Hai Jalwa
Chudi Khankayi Re from Yeh Hai Jalwa
Chudi Khankayi Re
Yeh Bekhudi Deewangi from Tumko Na Bhool Paayenge
Tere Naam from Tere Naam
Tere Naam 
Odli from Tere Naam
Tumse Milna from Tere Naam
Lagan Lagan from Tere Naam
Mujhse Shaadi Karogi from Mujhse Shaadi Karogi
Dulhan Hum Le Jayenge
Mujhse Shaadi Karogi 
Bindiya Chamakne Lagi from Dil Ne Jise Apna Kaha
Tere Naam
Tere Naam
Chori Chori from Lucky No Time for Love
Sun Zara from Lucky No Time for Love
Sau Dard Hai
Sun Zara Pardesi 
Laga Laga Laga Re from Meine Pyar Kyon Kiya
Mein Hoon Naa
Sirf Tum
Tumko Bhula Na Paayenge
Just Chill from Meine Pyar Kyon Kiya
Kyon Ki Itna Pyar from Kyon Ki
Kyon Ki
Thalavattam
Kyon Ki
Dil Ke Badle Sanam from Kyon Ki 
Bodyguard
Bajrangi Bhaijaan
Sau Dard Hai from Jaan E Mann
Hum Ko Malum Hai from Jaan E Mann
Tenu Leke from Salaam e Ishq A Tribute to Love 
Mujhse Shaadi Karoge
Soni De Nakhre from Partner
Soni De Nakhre
Do You Wanna Partner
You re My Love
Tu Hi Toh Meri Dost Hain from Yuvraaj
Tu Muskura
Surili Akhiyon Wale from Veer
Jag Ghoomeya
Debangg
Tere Mast Mast Do Nain from Debangg
Chori Kiya Re Jiya from Debangg
Chori Kiya Re Jiya
Dhinka Chika from Ready
Ringa Ringa
Arya 
Teri Meri Prem Kahani from Bodyguard
La Vifleem Colo n Jos
The Official Asian Download Chart show
Saiyaara from Ek Tha Tiger
Tere Naina Maar Hi Daalenge from Jai Ho
Jumme Ki Raat from Kick
Hangover from Kick
Tu Jo Mila from Bajrangi Bhaijaan
Selfie Le Le from Bajrangi Bhaijaan
Main Hoon Hero Tera from Hero
Title Track from Prem Ratan Dhan Payo
Jalte Diye from Prem Ratan Dhan Payo
Jag Ghoomeya from Sultan
Radio from Tubelight
Radio
Dil Diyan Gallan from Tiger Zinda Hai
Heeriye from Race 
Kick
 Pehli Baar Mile Hain from Saajan
 Aao Main Padhadoon Tumhain A B C from Kurbaan
 Joote Lo from Hum Aapke Hai Koun
 Choodi Maza Na Degi from Sanam Bewafa
 Bhangra Paale from Karan Arjun
 Aankhon Mein Bandh from Sangdil Sanam
 Abhi Saans Lene Ki Fursat Nahin Hai from Jeet
 Hello Brother from Hello Brother
 Love Theme from Hum Dil De Chuke Sanam
 Love Hua from Jaanam Samjha Karo
 Sajan Ji Ghar Aaye from Kuch Kuch Hota Hai
 Are Baba from Auzar
 Ishq Sona Hai from Biwi No 
 Tum Par Hum Hai from Pyaar Kiya To Darna Kya
 Deewana Main Chala from Pyaar Kiya To Darna Kya
 Chal Pyar Karegi from Jab Pyar Kise Se Hota Hai
 Oonchi Hai Building from Judwaa
 Kyun Kisi Ko from Tere Naam
 O Jaana from Tere Naam
 Title track from Hello Brother
 Chandi Ki Daal Par from Hello Brother
 Sajan Tumse Pyaar ki Ladaai mein from Maine Pyaar Kyun Kiya
 O Mr Raja from Dulhan Hum Le Jayenge
